,AAR nummer,Gecombineerde order,Customerorder nummer,Laadpartij,Laadstraat,Laadhuisnummer,Laadpostcode,Laadplaats,Laadland,RR code laden,Laden van,Laden tot,Operator,Logistieke service,Lospartij huidig,Lospartij voorstel,Gepland lossen van huidig,Gepland lossen tot huidig,Median lostijd huidig gerealiseerd,Lostijd voorstel,#RCP equiv georderd,#RCP equiv gerealiseerd (max),Vulgraad,#Pakketten gerealiseerd (max),#Pakketten_NMG,Transporthulpmiddeltype,Collectiedag,Dagen uitgevoerd,%WEST,%OOST,%ZUID,%BE,huidig=voorstel
1356,101129,,C4764667246,Amsterdam-SCB-Buba,AUSTRALIEHAVENWEG,100,1046BP,AMSTERDAM,NL,ASD-SCB-BUBA,18:30:00,19:00:00,TransportBV,71.0,DEPOT HALFWEG,DEPOT AMSTERDAM ZUIDOOST,18:30:00,19:30:00,19:00:00,19:15:00,48.0,48.0,27.0,1264.0,32.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1357,RC mail 6 TB-LE,,C4755835070,DEPOT TILBURG,LEDEBOERSTRAAT,82,5048AD,TILBURG,NL,TB-LE,20:00:00,20:30:00,Overig,61.0,DEPOT TILBURG,DEPOT TILBURG,20:00:00,22:00:00,19:30:00,20:30:00,48.0,48.0,27.0,1264.0,32.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1358, 5646,78,C4744875433,ALLES VOOR AFVALLEN,HOEVENWEG,13,5652AW,EINDHOVEN,NL,5652AW13A,22:00:00,22:30:00,TransportBV,75.0,DEPOT SON,DEPOT SON,22:00:00,23:45:00,23:00:00,22:45:00,30.0,22.0,41.98,901.0,23.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1359,RTL 525201,797,C4816533823,BUPO ROSMALEN,WESTEIND,2,5245NL,ROSMALEN,NL,RML-W,18:45:00,19:15:00,TransportBV,61.0,DEPOT DEN BOSCH,DEPOT DEN BOSCH,18:45:00,19:45:00,20:00:00,19:15:00,15.43,14.57,27.0,384.0,10.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1360,RTL 381201,,C4809205152,Amersfoort-Nijverheidsweg-Noord,NIJVERHEIDSWEG-NOORD,24,3812PM,AMERSFOORT,NL,AMF-NV,17:30:00,18:00:00,TransportBV,61.0,DEPOT AMERSFOORT,DEPOT AMERSFOORT,17:30:00,19:30:00,18:30:00,18:00:00,20.0,10.0,27.0,263.0,7.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1361,343533,,C4804921225,Nieuwegein-SCB-Buba,GROTE WADE,80,3439NT,NIEUWEGEIN,NL,NWG-SCB-BUBA,19:30:00,20:00:00,TransportBV,71.0,DEPOT UTRECHT,DEPOT UTRECHT,19:30:00,20:45:00,20:30:00,20:15:00,48.0,48.0,27.0,1264.0,32.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1362,RTL 600301,,C3042013022,MSC HANDELSONDERNEMING BV,FAHRENHEITSTRAAT,11,6003DC,WEERT,NL,6003DC11M,17:00:00,18:00:00,TransportBV,61.0,DEPOT DEN BOSCH,DEPOT DEN BOSCH,17:00:00,20:00:00,18:45:00,18:45:00,48.0,27.0,27.0,711.0,18.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1363,565613,,C3029301970,Best-De Donge,DE DONGE,3,5684PX,BEST,NL,BT-DDG,19:00:00,19:30:00,TransportBV,71.0,DEPOT SON,DEPOT SON,19:00:00,20:00:00,20:00:00,19:30:00,48.0,48.0,27.0,1264.0,32.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1364,3875,483,C3059758952,CandyOnline B.V.,XENONWEG,23,3812SZ,AMERSFOORT,NL,3812SZ23C,16:15:00,16:45:00,TransportBV,75.0,DEPOT AMERSFOORT,DEPOT AMERSFOORT,16:15:00,21:00:00,18:00:00,16:45:00,14.08,7.0,42.69,291.0,7.0,"{'PBL', 'RCP'}",Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1365,2646,851,C3025040100,DORTLAND EN VAN BEEM [ROTTERDAM],GRAALSTROOMSTRAAT,26,3044AR,ROTTERDAM,NL,3044AR26D,17:00:00,17:30:00,TransportBV,75.0,DEPOT DEN HOORN,DEPOT RIDDERKERK,17:00:00,21:00:00,18:30:00,18:15:00,5.0,5.0,294.37,1436.0,36.0,"{'RCP', 'PEU'}",Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1366,RTL 798002,415,C2965314767,BUPO HOOGEVEEN (DRD PET SUPPLIES),DE LAVALSTRAAT,5,7903BC,HOOGEVEEN,NL,HGV-L,17:30:00,18:00:00,TransportBV,61.0,DEPOT ZWOLLE,DEPOT ZWOLLE,17:30:00,19:00:00,19:15:00,18:30:00,10.29,9.43,27.0,248.0,6.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1367,2113,654,C2964171561,MAX PRO,PARELLAAN,26,2132WS,HOOFDDORP,NL,2132WS26M,16:30:00,17:00:00,TransportBV,75.0,DEPOT SASSENHEIM,DEPOT AMSTERDAM ZUIDOOST,16:30:00,21:00:00,18:30:00,17:45:00,4.0,3.0,30.0,88.0,2.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1368,9678,848,C3018091705,ASTRASAT DISCOUNT,KOPENHAGENSTRAAT,2,9723BB,GRONINGEN,NL,9723BB2A,17:15:00,17:45:00,TransportBV,75.0,DEPOT KOLHAM,DEPOT KOLHAM,17:15:00,21:00:00,17:30:00,17:45:00,3.0,2.0,14.86,29.0,1.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1369,RTL 606101,69,C3007249013,BUPO ROERMOND (PLAZA GRAFICA),NOORDHOVEN,15,6042NW,ROERMOND,NL,RM-N,17:15:00,17:45:00,TransportBV,61.0,DEPOT BORN,DEPOT BORN,17:15:00,18:45:00,18:45:00,18:30:00,9.0,8.0,27.0,211.0,5.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1370,RTL949401,843,C3189308715,BUPO ASSEN (BREMER KANTOORCENTRUM BV),EUROPAWEG NOORD,5,9403BC,ASSEN,NL,ASN-EN,16:30:00,17:30:00,TransportBV,61.0,ASSEN-KORENMAAT,DEPOT ZWOLLE,16:30:00,18:30:00,18:00:00,19:00:00,18.0,1.0,27.0,26.0,1.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1371,1772,,C3186531003,NIC OUD [HEERHUGOWAARD],NEWTONSTRAAT,46,1704SB,HEERHUGOWAARD,NL,1704SB46N,21:00:00,21:30:00,TransportBV,75.0,DEPOT OPMEER,DEPOT AMSTERDAM ZUIDOOST,21:00:00,22:30:00,21:15:00,22:15:00,30.0,19.93,27.78,540.0,14.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1372,2775 WL,,C3260205132,MEDIQ [BLEISWIJK],BRANDPUNTLAAN ZUID,14,2665NZ,BLEISWIJK,NL,2665NZ14M,12:00:00,12:30:00,TransportBV,75.0,DEPOT WADDINXVEEN,DEPOT DORDRECHT,12:00:00,14:00:00,14:00:00,13:00:00,48.0,48.0,28.55,1337.0,34.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1373,808006,,C3255127086,Zwolle-SCB-Buba,ANTHONY FOKKERSTRAAT,2,8013NS,ZWOLLE,NL,ZL-SCB-BUBA,17:15:00,17:45:00,TransportBV,71.0,DEPOT ZWOLLE,DEPOT ZWOLLE,17:15:00,18:00:00,17:15:00,17:45:00,48.0,48.0,27.0,1264.0,32.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1374,3803,484,C3232825137,BOUW LOGISTIC SERVICE [NIJKERK],GALVANISTRAAT,17,3861NJ,NIJKERK,NL,3861NJ17B,22:00:00,22:30:00,TransportBV,75.0,DEPOT AMERSFOORT,DEPOT ALMERE,22:00:00,23:30:00,23:30:00,23:00:00,26.5,26.5,11.94,309.0,8.0,"{'RCP', 'PEU'}",Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1375,101011,,C3224161236,Amsterdam-SCB-Buba,AUSTRALIEHAVENWEG,100,1046BP,AMSTERDAM,NL,ASD-SCB-BUBA,14:00:00,14:30:00,TransportBV,71.0,DEPOT AMSTERDAM ZUIDOOST,DEPOT AMSTERDAM ZUIDOOST,14:00:00,15:30:00,14:45:00,14:45:00,48.0,48.0,27.0,1264.0,32.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1376,101117,,C3103233887,Amsterdam-SCB-Buba,AUSTRALIEHAVENWEG,100,1046BP,AMSTERDAM,NL,ASD-SCB-BUBA,20:00:00,20:30:00,TransportBV,71.0,DEPOT HALFWEG,DEPOT AMSTERDAM ZUIDOOST,20:00:00,21:00:00,21:00:00,20:45:00,48.0,48.0,27.0,1264.0,32.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1377,747329,,C3107209091,Deventer-Duurstedeweg (OVP),DUURSTEDEWEG,30,7418CK,DEVENTER,NL,DV-D,18:30:00,19:00:00,TransportBV,71.0,DEPOT APELDOORN,DEPOT APELDOORN,18:30:00,19:30:00,19:30:00,19:15:00,48.0,46.14,27.0,1215.0,31.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1378,949632,,C3173915236,Assen-Korenmaat,KORENMAAT,16,9405TJ,ASSEN,NL,ASN-KMT,19:15:00,19:45:00,TransportBV,71.0,DEPOT KOLHAM,DEPOT APELDOORN,19:15:00,20:45:00,21:15:00,21:15:00,48.0,27.71,27.0,730.0,18.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1379,34039,177,C3172003945,EM WORKWEAR BV,STEPHENSONSTRAAT,11,4004JA,TIEL,NL,4004JA11E,17:00:00,17:30:00,TransportBV,75.0,DEPOT NIEUWEGEIN,DEPOT DEN BOSCH,17:00:00,21:00:00,19:00:00,18:00:00,3.0,2.0,28.79,56.0,1.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1380,52101,946,C3171815367,KAMPERT-NAUTA BV,GRIEKENWEG,7,5342PX,OSS,NL,5342PX7K,22:00:00,22:30:00,TransportBV,75.0,DEPOT DEN BOSCH,DEPOT DEN BOSCH,22:00:00,23:30:00,22:30:00,23:15:00,24.0,7.0,3.68,25.0,1.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1381,646109,,C3164061013,Heerlen-In de Cramer,IN DE CRAMER,12,6411RS,HEERLEN,NL,HRL-IDCR,17:30:00,18:00:00,TransportBV,71.0,DEPOT BORN,DEPOT VENLO,17:30:00,18:45:00,18:15:00,19:00:00,24.0,24.0,27.0,632.0,16.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1382,416-ND WY,,C2742048373,COOLBLUE [TILBURG],ASTERIASTRAAT,4,5047RM,TILBURG,NL,5047RM4C,15:30:00,16:00:00,TransportBV,75.0,DEPOT ALMERE,DEPOT ALMERE,15:30:00,18:00:00,19:15:00,17:15:00,48.0,45.0,21.66,951.0,0.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1383,RTL 413401,153,C2736510540,BUPO CULEMBORG (GAMMA),PARALLELWEG WEST,5,4104AX,CULEMBORG,NL,CL-PW,18:00:00,18:30:00,TransportBV,61.0,DEPOT NIEUWEGEIN,DEPOT NIEUWEGEIN,18:00:00,19:30:00,18:15:00,19:15:00,9.43,7.71,27.0,203.0,5.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1384,2913,,C2776311335,MAINPRESS BV,JAN VAN GALENSTRAAT,7,3115JG,SCHIEDAM,NL,3115JG7M,20:45:00,21:15:00,TransportBV,75.0,DEPOT RIDDERKERK,DEPOT DEN HOORN,20:45:00,22:45:00,21:30:00,21:15:00,12.0,6.0,37.89,222.0,6.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1385,34041,876,C2766379038,DUSTIN NETHERLANDS BV,STANDAARDRUITER,8,3905PW,VEENENDAAL,NL,3905PW8D,17:00:00,17:30:00,TransportBV,75.0,DEPOT AMERSFOORT,DEPOT NIEUWEGEIN,17:00:00,21:00:00,18:15:00,18:00:00,8.0,3.5,9.56,33.0,1.0,"{'RCP', 'PEU'}",Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1386,303309,,C2687235977,Rotterdam-Giessenweg,GIESSENWEG,34,3044AL,ROTTTERDAM,NL,RT-GSW,17:00:00,17:30:00,TransportBV,71.0,DEPOT DORDRECHT,DEPOT RIDDERKERK,17:00:00,18:15:00,18:00:00,17:45:00,48.0,44.86,27.0,1181.0,30.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1387,RTL 403501,165,C2667331771,BUPO TIEL (KARWEI),SIMON STEVINSTRAAT,26,4004JV,TIEL,NL,4004JV26K,12:00:00,15:00:00,TransportBV,61.0,DEPOT UTRECHT,DEPOT ELST,12:00:00,19:00:00,12:45:00,15:15:00,6.0,6.0,27.0,158.0,4.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1388,11106,9,C2645452096,GARDEN MARKET PLACE,NOORDDAMMERWEG,35,1424NW,DE KWAKEL,NL,1424NW35G,20:00:00,20:30:00,TransportBV,75.0,DEPOT HALFWEG,DEPOT AMSTERDAM ZUIDOOST,20:00:00,21:30:00,21:00:00,20:45:00,4.0,4.0,30.0,117.0,3.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1389,3884,401,C2726577066,Morgen is Nu B.V.,DALTONSTRAAT,42,3846BX,HARDERWIJK,NL,3846BX42M,16:15:00,16:45:00,TransportBV,75.0,DEPOT AMERSFOORT,DEPOT ALMERE,16:15:00,21:00:00,17:45:00,18:15:00,3.0,2.0,30.0,59.0,1.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1390,6652,477,C2720872728,ATAG PELGRIM HOME,IMPACT,83,6921RZ,DUIVEN,NL,6921RZ83A,16:30:00,17:00:00,TransportBV,75.0,DEPOT ELST,DEPOT ELST,16:30:00,19:00:00,18:00:00,18:00:00,10.5,7.5,17.34,127.0,3.0,{'PEU'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1391,96v46,,C2698267182,COOKINGLIFE BV,OSLOWEG,103,9723BK,GRONINGEN,NL,9723BK103C,18:00:00,18:30:00,TransportBV,75.0,DEPOT KOLHAM,DEPOT KOLHAM,18:00:00,21:00:00,18:45:00,18:30:00,20.0,20.0,28.64,559.0,14.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1392,RC mail 3 VL-PO,,C2907685560,DEPOT VENLO,POPEWEG,66,5928SC,VENLO,NL,VL-PO,20:00:00,20:30:00,Overig,61.0,DEPOT VENLO,DEPOT VENLO,20:00:00,22:00:00,20:00:00,20:30:00,48.0,48.0,27.0,1264.0,32.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1393,BEL 2801 WL,,C2900648376,COOLBLUE [TILBURG],ASTERIASTRAAT,4,5047RM,TILBURG,NL,5047RM4C,00:00:00,00:30:00,TransportBV,75.0,DEPOT WILLEBROEK (B),DEPOT WILLEBROEK,00:00:00,02:30:00,02:15:00,01:45:00,48.0,17.0,21.66,359.0,0.0,{'RCP'},Maandag,{'2022-05-24'},29.4,32.0,24.4,14.2,False
1394,RT935101COR,777,C2915974742,BUPO LEEK (PROKAN),LORENTZPARK,2,9351VJ,LEEK,NL,LEK-L,17:00:00,18:00:00,TransportBV,61.0,DEPOT KOLHAM,DEPOT LEEUWARDEN,17:00:00,21:00:00,18:45:00,18:30:00,18.0,14.57,27.0,384.0,10.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1395,808033,,C2920609979,Zwolle-SCB-Buba,ANTHONY FOKKERSTRAAT,2,8013NS,ZWOLLE,NL,ZL-SCB-BUBA,19:00:00,20:00:00,TransportBV,71.0,DEPOT ZWOLLE,DEPOT ZWOLLE,19:00:00,20:15:00,19:45:00,20:00:00,48.0,48.0,27.0,1264.0,32.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1396,444410,,C2828739512,Goes-Verrijn Stuartweg,VERRYN STUARTWEG,5,4462GE,GOES,NL,GS-VST,18:45:00,19:15:00,TransportBV,71.0,DEPOT GOES,DEPOT DORDRECHT,18:45:00,19:30:00,19:30:00,20:15:00,48.0,47.14,27.0,1241.0,31.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1397,1130,233,C2828615312,VANILIA THE SHOPS [WORMERVEER],ZAANDIJKERWEG,5,1521AX,WORMERVEER,NL,1521AX5V,16:30:00,17:00:00,TransportBV,75.0,DEPOT HALFWEG,DEPOT AMSTERDAM ZUIDOOST,16:30:00,21:00:00,19:30:00,18:15:00,3.0,1.0,144.66,141.0,4.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1398,1049,904,C2807620698,AFS Postshop,KONINGIN WILHELMINAPLEIN,17,1062HJ,AMSTERDAM,NL,1062HJ17P,17:45:00,18:15:00,TransportBV,75.0,DEPOT AMSTERDAM ZUIDOOST,DEPOT AMSTERDAM ZUIDOOST,17:45:00,19:30:00,18:00:00,18:15:00,24.0,17.0,16.27,270.0,7.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1399,450-ZD WL,,C2857427475,COOLBLUE [TILBURG],ASTERIASTRAAT,4,5047RM,TILBURG,NL,5047RM4C,00:00:00,00:30:00,TransportBV,75.0,DEPOT TILBURG,DEPOT TILBURG,00:00:00,00:55:00,01:00:00,00:30:00,48.0,45.0,21.66,951.0,0.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1400,242124,,C3690569047,s-Gravenhage-Loire (OVP),LOIRE,1,2491AN,'S-GRAVENHAGE,NL,GV-L-OVP,17:15:00,17:45:00,TransportBV,71.0,DEPOT SASSENHEIM,DEPOT RIDDERKERK,17:15:00,18:15:00,18:30:00,18:15:00,48.0,48.0,27.0,1264.0,32.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1401,96101,548,C3768816766,CHRIS RUSSELL ACTIEMARKETING,OSLOWEG,75,9723BJ,GRONINGEN,NL,9723BJ75C,21:00:00,21:30:00,TransportBV,75.0,DEPOT KOLHAM,DEPOT KOLHAM,21:00:00,22:15:00,21:45:00,21:30:00,5.0,5.0,48.54,237.0,6.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1402,1052,,C3743204713,WARMTESERVICE [ZAANDAM],PENNINGWEG,81,1507DG,ZAANDAM,NL,1507DG81W,23:00:00,23:30:00,TransportBV,75.0,DEPOT AMSTERDAM,DEPOT UTRECHT,23:00:00,00:30:00,23:45:00,00:15:00,16.0,10.0,26.57,259.0,7.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1403,222108,,C3737889159,Katwijk-Katwijkerbroek,KATWIJKERBROEK,51,2223XN,KATWIJK,NL,KZH-KTW,18:00:00,18:30:00,TransportBV,71.0,DEPOT SASSENHEIM,DEPOT AMSTERDAM ZUIDOOST,18:00:00,19:00:00,18:45:00,19:00:00,48.0,39.43,27.0,1038.0,26.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1404,RTL 595902,,C3628889492,BUPO PANNINGEN (ESSO),MAASBREESEWEG,29,5981NZ,PANNINGEN,NL,PNG-MB,18:00:00,18:30:00,TransportBV,61.0,DEPOT VENLO,DEPOT VENLO,18:00:00,19:30:00,19:30:00,18:45:00,12.0,12.0,27.0,316.0,8.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1405,848929,,C3622369500,Heerenveen-Wetterwille (OVP),WETTERWILLE,10,8447GC,HEERENVEEN,NL,HRV-WTW,18:30:00,19:00:00,TransportBV,71.0,DEPOT LEEUWARDEN,DEPOT LEEUWARDEN,18:30:00,19:45:00,19:15:00,19:15:00,48.0,38.57,27.0,1016.0,26.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1406,5609,87,C3603678593,RPI EUROPE iz PRINT OCEAN [EINDHOVEN],MARINUS VAN MEELWEG,13,5657EN,EINDHOVEN,NL,5657EN13R,21:30:00,22:00:00,TransportBV,75.0,DEPOT SON,DEPOT SON,21:30:00,23:45:00,20:45:00,22:15:00,3.0,1.0,30.0,29.0,1.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1407,2631,959,C3668224470,Firefly Etail B.V.,LEEMOLEN,68,2678MH,DE LIER,NL,2678MH68F,16:30:00,17:00:00,TransportBV,75.0,DEPOT DEN HOORN,DEPOT DEN HOORN,16:30:00,21:00:00,20:00:00,17:30:00,12.0,12.0,8.4,98.0,2.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1408,RTL 272701,,C3648673305,Zoetermeer-Philipsstraat,PHILIPSSTRAAT,3,2722NA,ZOETERMEER,NL,ZTM-PS,18:30:00,19:00:00,TransportBV,61.0,DEPOT WADDINXVEEN,DEPOT WADDINXVEEN,18:30:00,20:00:00,19:30:00,19:00:00,39.43,35.43,27.0,933.0,24.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1409,2697,649,C3645526576,AVONTURIA DE VOGELKELDER BV,GOUDLAAN,5,2544EG,DEN HAAG,NL,2544EG5A,17:00:00,17:30:00,TransportBV,75.0,DEPOT DEN HOORN,DEPOT DEN HOORN,17:00:00,21:00:00,18:15:00,17:30:00,18.0,9.0,30.0,263.0,7.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1410,3569,,C3869066609,CENTRAAL BOEKHUIS [TEXTIELWEG],TEXTIELWEG,3,4104AM,CULEMBORG,NL,4104AMC3C,22:00:00,22:30:00,TransportBV,75.0,DEPOT UTRECHT,DEPOT NIEUWEGEIN,22:00:00,23:30:00,23:00:00,22:45:00,48.0,32.0,31.02,968.0,24.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1411,3885,259,C3863054089,Smart Fulfilment B.V.,STANDAARDRUITER,8,3905PW,VEENENDAAL,NL,3905PW8S,22:00:00,22:30:00,TransportBV,75.0,DEPOT AMERSFOORT,DEPOT WADDINXVEEN,22:00:00,23:30:00,00:15:00,00:15:00,2.0,2.0,30.0,59.0,1.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1412,3490,639,C3851608227,SPITS WALLCOVERINGS [SCHOONHOVEN],BENELUXLAAN,61,2871HE,SCHOONHOVEN,NL,2871HE61S,16:00:00,16:30:00,TransportBV,75.0,DEPOT NIEUWEGEIN,DEPOT WADDINXVEEN,16:00:00,20:00:00,17:30:00,17:15:00,7.0,3.0,22.98,67.0,2.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1413,RTL  540501,970,C3787494812,Uden-Udensewg,UDENSEWEG,2,5405PA,UDEN,NL,UD-U,17:30:00,18:00:00,TransportBV,61.0,DEPOT DEN BOSCH,DEPOT DEN BOSCH,17:30:00,18:45:00,18:15:00,18:30:00,17.14,17.14,27.0,451.0,11.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1414,BEL 2823,901,C3781682895,JUST RUSSEL [BE],VOSSELARESTRAAT,73,9850,LANDEGEM,BE,B9850LAN73,16:30:00,17:30:00,TransportBV,90.0,DEPOT WILLEBROEK (B),DEPOT WILLEBROEK,16:30:00,21:00:00,19:30:00,19:45:00,15.0,13.5,30.0,395.0,10.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1415,1035,,C3816495040,BLECKMANN [AMSTERDAM-BEIRAWEG],BEIRAWEG,11,1047HN,AMSTERDAM,NL,1047HN11B,23:00:00,23:30:00,TransportBV,75.0,DEPOT AMSTERDAM ZUIDOOST,DEPOT UTRECHT,23:00:00,00:30:00,00:15:00,00:00:00,40.5,11.0,42.65,458.0,12.0,{'PEU'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1416,102137,,C3815962310,Amsterdam-SCB-Buba,AUSTRALIEHAVENWEG,100,1046BP,AMSTERDAM,NL,ASD-SCB-BUBA,20:30:00,21:00:00,TransportBV,71.0,DEPOT SASSENHEIM,DEPOT AMSTERDAM ZUIDOOST,20:30:00,22:00:00,21:30:00,21:15:00,48.0,48.0,27.0,1264.0,32.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1417,	2161,762,C3800724100,ONLINE DEURBESLAGSHOP BV,DRACHMEWEG,7,2153PA,NIEUW-VENNEP,NL,2153PA7O,16:30:00,17:00:00,TransportBV,75.0,DEPOT SASSENHEIM,DEPOT UTRECHT,16:30:00,21:00:00,18:45:00,18:45:00,10.0,6.0,84.84,496.0,13.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1418,5108,,C3791053269,KA E-commerce BV [STEENBOK 26],DE STEENBOK,26,5215ME,'S-HERTOGENBOSCH,NL,5215ME26KA,22:30:00,23:00:00,TransportBV,75.0,DEPOT DEN BOSCH,DEPOT DEN BOSCH,22:30:00,23:45:00,22:45:00,23:00:00,6.0,6.0,21.76,127.0,3.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1419,4831,292,C3386136383,FOREVER DIRECT EU BV (OUD GASTEL),T APPELTJE,2,4751XJ,OUD GASTEL,NL,4751XJ2F,17:00:00,17:30:00,TransportBV,75.0,DEPOT BREDA,DEPOT DORDRECHT,17:00:00,21:00:00,18:00:00,17:45:00,10.0,10.0,27.86,272.0,7.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1420,PECOPM 1,198,C3440227023,WIJ ZIJN UW SPECIALIST B.V.,WESTRAK,208,1771SV,WIERINGERWERF,NL,1771SV208W,16:00:00,16:30:00,TransportBV,75.0,DEPOT OPMEER,DEPOT OPMEER,16:00:00,21:00:00,17:30:00,17:45:00,30.0,26.0,12.13,308.0,8.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,True
1421,341038,,C3436750176,Nieuwegein-SCB-Buba,GROTE WADE,80,3439NT,NIEUWEGEIN,NL,NWG-SCB-BUBA,20:45:00,21:15:00,TransportBV,71.0,DEPOT AMSTERDAM ZUIDOOST,DEPOT UTRECHT,20:45:00,22:30:00,20:15:00,21:30:00,48.0,41.14,27.0,1083.0,27.0,{'RCB'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
1422,2128,,C3340324201,NR1 PARFUMERIE,INDUSTRIEWEG,7,2254AE,VOORSCHOTEN,NL,2254AE7N,22:45:00,23:15:00,TransportBV,75.0,DEPOT SASSENHEIM,DEPOT DEN HOORN,22:45:00,23:59:00,22:45:00,23:30:00,2.0,1.0,279.37,272.0,7.0,{'RCP'},Maandag,{'2022-05-23'},29.4,32.0,24.4,14.2,False
